Name,Lat,Lon,country,state,Population
Benguela,-12.57626,13.40547,AO,1,151226
Zarate,-34.09814,-59.02858,AR,1,88781
Villa Ocampo,-28.48752,-59.35515,AR,21,19101
Villa Lugano,-34.67907,-58.47263,AR,7,114000
Villaguay,-31.8653,-59.02689,AR,8,32027
Villa Gesell,-37.26394,-56.97304,AR,1,23257
Tigre,-34.42603,-58.57962,AR,1,31106
Tandil,-37.32167,-59.13316,AR,1,104325
San Vicente,-26.61667,-54.13333,AR,14,38247
Santo Tome,-28.54939,-56.04077,AR,6,22634
Santa Elena,-30.94768,-59.78696,AR,8,18410
San Pedro,-26.62207,-54.10842,AR,14,23736
San Luis del Palmar,-27.5079,-58.55454,AR,6,15347
San Lorenzo,-28.13306,-58.76733,AR,6,47626
San Javier,-30.57781,-59.9317,AR,21,15606
San Isidro,-34.47145,-58.50776,AR,1,45190
Saladas,-28.25384,-58.62591,AR,6,18349
Retiro,-34.58333,-58.38333,AR,7,38635
Resistencia,-27.46056,-58.98389,AR,3,387158
Reconquista,-29.15,-59.65,AR,21,90184
Quilmes,-34.72418,-58.25265,AR,1,518788
Puerto Rico,-26.79598,-55.02402,AR,14,17491
Puerto Iguazu,-25.59912,-54.57355,AR,14,32038
Puerto Esperanza,-26.01517,-54.67306,AR,14,15579
Puerto Eldorado,-26.40843,-54.69463,AR,14,54189
Posadas,-27.36708,-55.89608,AR,14,323739
Pontevedra,-34.74974,-58.68697,AR,1,33515
Pirane,-25.73239,-59.10879,AR,9,19124
Paso de los Libres,-29.71251,-57.08771,AR,6,43805
Obera,-27.48706,-55.11994,AR,14,56528
Necochea,-38.54726,-58.73675,AR,1,80478
Moron,-34.65344,-58.61975,AR,1,319934
Monte Caseros,-30.25359,-57.63626,AR,6,24671
Montecarlo,-26.5662,-54.757,AR,14,22229
Mercedes,-34.65145,-59.43068,AR,1,52949
Mercedes,-29.18416,-58.07519,AR,6,30649
Mar del Plata,-38.00228,-57.55754,AR,1,553935
Lujan,-34.57028,-59.105,AR,1,81749
La Plata,-34.92145,-57.95453,AR,1,694167
La Paz,-30.74485,-59.64566,AR,8,24716
Jardin America,-27.04346,-55.22698,AR,14,24905
Gualeguaychu,-33.00937,-58.51722,AR,8,78676
Gualeguay,-33.14156,-59.30966,AR,8,33120
Goya,-29.14395,-59.2651,AR,6,70245
Gobernador Ingeniero Valentin Virasoro,-28.05,-56.03333,AR,6,28756
General Jose de San Martin,-26.53743,-59.34158,AR,3,31758
Garupa,-27.48171,-55.82921,AR,14,28814
Formosa,-26.17753,-58.17814,AR,9,221383
Fontana,-27.41813,-59.02392,AR,3,26745
Federal,-30.95465,-58.78326,AR,8,16333
Esquina,-30.01444,-59.52719,AR,6,26399
El Soberbio,-27.29847,-54.19877,AR,14,19571
Dolores,-36.31321,-57.67918,AR,1,25190
